ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike,Income Band
12496,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,No,Medium
24107,Married,Male,30000,3,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,No,Medium
14177,Married,Male,80000,5,Partial College,Professional,No,2,2-5 Miles,Europe,60,No,High
24381,Single,Male,70000,0,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,41,Yes,High
25597,Single,Male,30000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,36,Yes,Medium
13507,Married,Female,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,50,No,Low
27974,Single,Male,160000,2,High School,Management,Yes,4,0-1 Miles,Pacific,33,Yes,Very High
19364,Married,Male,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Yes,Medium
22155,Married,Male,20000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,58,No,Low
19280,Married,Male,120000,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,40,Yes,Very High
22173,Married,Female,30000,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,54,Yes,Medium
12697,Single,Female,90000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,36,No,High
11434,Married,Male,170000,5,Partial College,Professional,Yes,0,0-1 Miles,Europe,55,No,Very High
25323,Married,Male,40000,2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Yes,Medium
23542,Single,Male,60000,1,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45,Yes,High
20870,Single,Female,10000,2,High School,Manual,Yes,1,0-1 Miles,Europe,38,Yes,Low
23316,Single,Male,30000,3,Partial College,Clerical,No,2,1-2 Miles,Pacific,59,Yes,Medium
12610,Married,Female,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,No,Medium
27183,Single,Male,40000,2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Yes,Medium
25940,Single,Male,20000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,Yes,Low
25598,Married,Female,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,36,Yes,Medium
21564,Single,Female,80000,0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,35,No,High
19193,Single,Male,40000,2,Partial College,Clerical,Yes,0,1-2 Miles,Europe,35,Yes,Medium
26412,Married,Female,80000,5,High School,Management,No,3,5-10 Miles,Europe,56,No,High
27184,Single,Male,40000,2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,No,Medium
12590,Single,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,63,No,Medium
17841,Single,Male,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,29,Yes,Medium
18283,Single,Female,100000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,40,No,Very High
18299,Married,Male,70000,5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,44,No,High
16466,Single,Female,20000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,Yes,Low
19273,Married,Female,20000,2,Partial College,Manual,Yes,0,0-1 Miles,Europe,63,No,Low
22400,Married,Male,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Yes,Low
20942,Single,Female,20000,0,High School,Manual,No,1,5-10 Miles,Europe,31,No,Low
18484,Single,Male,80000,2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Yes,High
12291,Single,Male,90000,5,Partial College,Professional,No,2,2-5 Miles,Europe,62,Yes,High
28380,Single,Female,10000,5,Partial High School,Manual,No,2,0-1 Miles,Europe,41,No,Low
17891,Married,Female,10000,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,50,Yes,Low
27832,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,No,Medium
26863,Single,Male,20000,0,High School,Manual,No,1,2-5 Miles,Europe,28,No,Low
16259,Single,Female,10000,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,Yes,Low
27803,Single,Female,30000,2,Partial College,Clerical,No,0,0-1 Miles,Europe,43,No,Medium
14347,Single,Female,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,Yes,Medium
17703,Married,Female,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,40,No,Low
17185,Married,Female,170000,4,Partial College,Professional,No,3,5-10 Miles,Europe,48,Yes,Very High
29380,Married,Female,20000,3,High School,Manual,Yes,0,0-1 Miles,Europe,41,Yes,Low
23986,Married,Female,20000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,66,Yes,Low
24466,Married,Female,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,Yes,High
29097,Single,Female,40000,2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Yes,Medium
19487,Married,Male,30000,2,Partial College,Clerical,No,2,0-1 Miles,Europe,42,No,Medium
14939,Single,Male,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39,Yes,Medium
13826,Single,Female,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,28,No,Medium
20619,Single,Male,80000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,35,No,High
12558,Married,Female,20000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,No,Low
24871,Single,Female,90000,4,High School,Management,No,3,5-10 Miles,Europe,56,No,High
17319,Single,Female,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,42,No,High
28906,Married,Male,80000,4,High School,Professional,Yes,2,10+ Miles,Europe,54,No,High
12808,Married,Male,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Yes,Medium
20567,Married,Male,130000,4,Partial College,Professional,No,4,5-10 Miles,Europe,61,Yes,Very High
25502,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Yes,Medium
15580,Married,Male,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,38,Yes,High
